description,type,severity
Scan resumed on all drives and all extensions.,alert,
This device is not licensed for Memory Exploit Mitigation Custom Applications.,alert,
Symantec Endpoint Protection is overdeployed,alert,informational
User is attempting to terminate Symantec Management Client*,alert,
Already running process*,alert,
Information submitted to Symantec.*,alert,
Symantec Endpoint Protection requires a restart*,alert,
[SONAR detection Submission] File submitted to Symantec*,alert,
Host Integrity check passed*,event,
Sending Email Failed*,alert,medium